Game Type,#Players,Tree Depth,Branching Factor,Move Type,Imperfect Info,Incomplete Info,Imperfect Recall,Zero-Sum,Cooperative,Potential Game,Repeated (finite T),Symmetric,Signaling,Chance Nodes,Bargaining,Voting Game,Domain Tag,Notes
Matching Pennies,2,2,2,Simultaneous,Yes,No,No,Yes,No,No,No,Yes,No,None,No,No,Contest/Zero-sum,2x2 zero-sum.
Rock–Paper–Scissors,2,2,3,Simultaneous,Yes,No,No,Yes,No,No,No,Yes,No,None,No,No,Contest/Zero-sum,3 actions each.
Prisoner’s Dilemma,2,2,2,Simultaneous,Yes,No,No,No,No,No,No,Yes,No,None,No,No,Coordination/Conflict,Dominant defection.
Stag Hunt,2,2,2,Simultaneous,Yes,No,No,No,No,Yes,No,Yes,No,None,No,No,Coordination,Potential structure.
Hawk–Dove (Chicken),2,2,2,Simultaneous,Yes,No,No,No,No,No,No,Yes,No,None,No,No,Anti-Coordination,Risk-dominance tradeoff.
Battle of the Sexes,2,2,2,Simultaneous,Yes,No,No,No,No,No,No,Yes,No,None,No,No,Coordination (asymmetric),Distinct focal points.
Coordination (3-Player),3,2,2,Simultaneous,Yes,No,No,No,No,Yes,No,Yes,No,None,No,No,Coordination,Multi-player potential.
Anti-Coordination (3-Player),3,2,2,Simultaneous,Yes,No,No,No,No,No,No,Yes,No,None,No,No,Anti-Coordination,Minority-style preferences.
Traveler’s Dilemma (discretized),2,2,10,Simultaneous,Yes,No,No,No,No,No,No,Yes,Yes,None,No,No,Paradox/Competition,Simultaneous claims with bonus/penalty.
Centipede (finite),2,5,2,Sequential,No,No,No,No,No,No,No,Yes,No,None,No,No,Dynamic/Sequential,Increasing stakes; pass/take.
Ultimatum Game,2,3,2,Sequential,No,No,No,No,No,No,No,Yes,No,None,Yes,No,Bargaining,Offer => accept/reject.
Trust Game,2,3,2,Sequential,No,No,No,No,No,No,No,Yes,No,None,No,No,Trust/Reciprocity,Invest => return.
Hold-Up Problem (discrete),2,3,2,Sequential,No,No,No,No,No,No,No,Yes,No,None,No,No,Contracts/Investment,Relationship-specific investment then bargaining.
Inspection Game (sequential),2,3,2,Sequential,No,No,No,No,No,No,No,Yes,No,None,No,No,Enforcement,Inspect vs. shirk timing.
Stackelberg Duopoly (discrete),2,3,3,Sequential,No,No,No,No,No,No,No,Yes,No,None,No,No,Market/Competition,"Leader chooses, follower responds."
Entry Deterrence (complete info),2,3,2,Sequential,No,No,No,No,No,No,No,Yes,No,None,No,No,Market/Entry,Fight vs. accommodate.
Kuhn Poker,2,4,2,Sequential,Yes,Yes,No,Yes,No,No,No,Yes,No,Early,No,No,Poker/Zero-sum,Chance deals; infosets.
Leduc Poker (small),2,6,2,Sequential,Yes,Yes,No,Yes,No,No,No,Yes,No,Early/Mid,No,No,Poker/Zero-sum,Public card stage.
